BusinessEntityID,TerritoryID,SalesQuota,Bonus,CommissionPct,SalesYTD,SalesLastYear,QuotaDate
274,,,0,0,559697.5639,0,2011-05-31 00:00:00
274,,,0,0,559697.5639,0,2014-03-01 00:00:00
274,,,0,0,559697.5639,0,2013-11-30 00:00:00
274,,,0,0,559697.5639,0,2013-08-30 00:00:00
274,,,0,0,559697.5639,0,2013-02-28 00:00:00
274,,,0,0,559697.5639,0,2012-11-30 00:00:00
274,,,0,0,559697.5639,0,2013-05-30 00:00:00
274,,,0,0,559697.5639,0,2012-05-30 00:00:00
274,,,0,0,559697.5639,0,2012-02-29 00:00:00
274,,,0,0,559697.5639,0,2011-12-01 00:00:00
274,,,0,0,559697.5639,0,2011-08-31 00:00:00
274,,,0,0,559697.5639,0,2012-08-30 00:00:00
,,,,,,,2013-02-28 00:00:00
,,,,,,,2014-03-01 00:00:00
,,,,,,,2013-11-30 00:00:00
,,,,,,,2013-08-30 00:00:00
,,,,,,,2012-11-30 00:00:00
,,,,,,,2013-05-30 00:00:00
,,,,,,,2012-05-30 00:00:00
,,,,,,,2011-08-31 00:00:00
,,,,,,,2011-12-01 00:00:00
,,,,,,,2011-05-31 00:00:00
,,,,,,,2012-02-29 00:00:00
,,,,,,,2012-08-30 00:00:00
,,,,,,,2012-11-30 00:00:00
,,,,,,,2013-11-30 00:00:00
,,,,,,,2013-08-30 00:00:00
,,,,,,,2013-05-30 00:00:00
,,,,,,,2013-02-28 00:00:00
,,,,,,,2014-03-01 00:00:00
,,,,,,,2012-08-30 00:00:00
,,,,,,,2012-02-29 00:00:00
,,,,,,,2011-12-01 00:00:00
,,,,,,,2011-08-31 00:00:00
,,,,,,,2011-05-31 00:00:00
,,,,,,,2012-05-30 00:00:00
,,,,,,,2013-02-28 00:00:00
,,,,,,,2014-03-01 00:00:00
,,,,,,,2013-11-30 00:00:00
,,,,,,,2013-08-30 00:00:00
,,,,,,,2013-05-30 00:00:00
,,,,,,,2012-11-30 00:00:00
,,,,,,,2011-12-01 00:00:00
,,,,,,,2012-05-30 00:00:00
,,,,,,,2012-02-29 00:00:00
,,,,,,,2012-08-30 00:00:00
,,,,,,,2011-08-31 00:00:00
,,,,,,,2011-05-31 00:00:00
,,,,,,,2013-11-30 00:00:00
,,,,,,,2013-08-30 00:00:00
,,,,,,,2013-05-30 00:00:00
,,,,,,,2013-02-28 00:00:00
,,,,,,,2012-11-30 00:00:00
,,,,,,,2014-03-01 00:00:00
,,,,,,,2012-05-30 00:00:00
,,,,,,,2011-05-31 00:00:00
,,,,,,,2011-08-31 00:00:00
,,,,,,,2012-08-30 00:00:00
,,,,,,,2012-02-29 00:00:00
,,,,,,,2011-12-01 00:00:00
,,,,,,,2012-11-30 00:00:00
,,,,,,,2013-11-30 00:00:00
,,,,,,,2013-08-30 00:00:00
,,,,,,,2013-05-30 00:00:00
,,,,,,,2013-02-28 00:00:00
,,,,,,,2014-03-01 00:00:00
,,,,,,,2012-08-30 00:00:00
,,,,,,,2012-02-29 00:00:00
,,,,,,,2011-12-01 00:00:00
,,,,,,,2011-08-31 00:00:00
,,,,,,,2011-05-31 00:00:00
,,,,,,,2012-05-30 00:00:00
,,,,,,,2013-02-28 00:00:00
,,,,,,,2014-03-01 00:00:00
,,,,,,,2013-11-30 00:00:00
,,,,,,,2013-05-30 00:00:00
,,,,,,,2012-11-30 00:00:00
,,,,,,,2013-08-30 00:00:00
,,,,,,,2012-05-30 00:00:00
,,,,,,,2011-08-31 00:00:00
,,,,,,,2012-08-30 00:00:00
,,,,,,,2011-05-31 00:00:00
,,,,,,,2012-02-29 00:00:00
,,,,,,,2011-12-01 00:00:00
,,,,,,,2013-02-28 00:00:00
,,,,,,,2014-03-01 00:00:00
,,,,,,,2013-11-30 00:00:00
,,,,,,,2013-08-30 00:00:00
,,,,,,,2013-05-30 00:00:00
,,,,,,,2012-11-30 00:00:00
,,,,,,,2012-08-30 00:00:00
,,,,,,,2012-05-30 00:00:00
,,,,,,,2012-02-29 00:00:00
,,,,,,,2011-12-01 00:00:00
,,,,,,,2011-08-31 00:00:00
,,,,,,,2011-05-31 00:00:00
,,,,,,,2014-03-01 00:00:00
,,,,,,,2013-11-30 00:00:00
,,,,,,,2013-08-30 00:00:00
,,,,,,,2013-05-30 00:00:00
,,,,,,,2013-02-28 00:00:00
,,,,,,,2012-11-30 00:00:00
,,,,,,,2012-05-30 00:00:00
,,,,,,,2012-02-29 00:00:00
,,,,,,,2011-12-01 00:00:00
,,,,,,,2011-08-31 00:00:00
,,,,,,,2011-05-31 00:00:00
,,,,,,,2012-08-30 00:00:00
,,,,,,,2012-05-30 00:00:00
,,,,,,,2013-08-30 00:00:00
,,,,,,,2013-05-30 00:00:00
,,,,,,,2013-02-28 00:00:00
,,,,,,,2012-11-30 00:00:00
,,,,,,,2012-02-29 00:00:00
,,,,,,,2013-11-30 00:00:00
,,,,,,,2011-12-01 00:00:00
,,,,,,,2011-08-31 00:00:00
,,,,,,,2011-05-31 00:00:00
,,,,,,,2012-08-30 00:00:00
,,,,,,,2014-03-01 00:00:00
,,,,,,,2013-11-30 00:00:00
,,,,,,,2014-03-01 00:00:00
,,,,,,,2013-08-30 00:00:00
,,,,,,,2012-08-30 00:00:00
,,,,,,,2013-02-28 00:00:00
,,,,,,,2012-11-30 00:00:00
,,,,,,,2013-05-30 00:00:00
,,,,,,,2013-05-30 00:00:00
,,,,,,,2013-08-30 00:00:00
,,,,,,,2013-11-30 00:00:00
,,,,,,,2014-03-01 00:00:00
,,,,,,,2013-11-30 00:00:00
,,,,,,,2014-03-01 00:00:00
,,,,,,,2013-05-30 00:00:00
,,,,,,,2013-08-30 00:00:00
,,,,,,,2014-03-01 00:00:00
,,,,,,,2013-11-30 00:00:00
,,,,,,,2013-08-30 00:00:00
,,,,,,,2013-05-30 00:00:00
,,,,,,,2013-02-28 00:00:00
,,,,,,,2012-08-30 00:00:00
,,,,,,,2012-05-30 00:00:00
,,,,,,,2012-11-30 00:00:00
,,,,,,,2014-03-01 00:00:00
,,,,,,,2013-11-30 00:00:00
,,,,,,,2013-05-30 00:00:00
,,,,,,,2013-08-30 00:00:00
,,,,,,,2014-03-01 00:00:00
,,,,,,,2013-11-30 00:00:00
,,,,,,,2013-08-30 00:00:00
,,,,,,,2013-05-30 00:00:00
,,,,,,,2012-11-30 00:00:00
,,,,,,,2012-08-30 00:00:00
,,,,,,,2012-05-30 00:00:00
,,,,,,,2013-02-28 00:00:00
,,,,,,,2013-05-30 00:00:00
,,,,,,,2013-08-30 00:00:00
,,,,,,,2013-02-28 00:00:00
,,,,,,,2013-11-30 00:00:00
,,,,,,,2012-08-30 00:00:00
,,,,,,,2012-05-30 00:00:00
,,,,,,,2012-11-30 00:00:00
,,,,,,,2014-03-01 00:00:00
